dia;home;away;FTGH;FTAG
29/03/2025;Flamengo RJ;Internacional;1;1
29/03/2025;Cruzeiro;Mirassol;2;1
29/03/2025;Fortaleza;Fluminense;2;0
29/03/2025;Gremio;Atletico-MG;2;1
29/03/2025;Juventude;Vitoria;2;0
29/03/2025;Sao Paulo;Sport Recife;0;0
30/03/2025;Bahia;Corinthians;1;1
30/03/2025;Vasco;Santos;2;1
30/03/2025;Palmeiras;Botafogo RJ;0;0
31/03/2025;Bragantino;Ceara;2;2
05/04/2025;Botafogo RJ;Juventude;2;0
05/04/2025;Ceara;Gremio;2;0
05/04/2025;Corinthians;Vasco;3;0
06/04/2025;Santos;Bahia;2;2
06/04/2025;Internacional;Cruzeiro;3;0
06/04/2025;Mirassol;Fortaleza;1;1
06/04/2025;Sport Recife;Palmeiras;1;2
06/04/2025;Vitoria;Flamengo RJ;1;2
06/04/2025;Atletico-MG;Sao Paulo;0;0
06/04/2025;Fluminense;Bragantino;2;1
12/04/2025;Vasco;Sport Recife;3;1
12/04/2025;Palmeiras;Corinthians;2;0
12/04/2025;Bragantino;Botafogo RJ;1;0
12/04/2025;Juventude;Ceara;2;1
13/04/2025;Atletico-MG;Vitoria;2;2
13/04/2025;Fortaleza;Internacional;0;0
13/04/2025;Fluminense;Santos;1;0
13/04/2025;Gremio;Flamengo RJ;0;2
13/04/2025;Sao Paulo;Cruzeiro;1;1
13/04/2025;Bahia;Mirassol;1;1
15/04/2025;Ceara;Vasco;2;1
16/04/2025;Flamengo RJ;Juventude;6;0
16/04/2025;Santos;Atletico-MG;2;0
16/04/2025;Vitoria;Fortaleza;2;1
16/04/2025;Corinthians;Fluminense;0;2
16/04/2025;Internacional;Palmeiras;0;1
16/04/2025;Mirassol;Gremio;4;1
16/04/2025;Sport Recife;Bragantino;0;1
16/04/2025;Botafogo RJ;Sao Paulo;2;2
17/04/2025;Cruzeiro;Bahia;3;0
19/04/2025;Gremio;Internacional;1;1
19/04/2025;Vasco;Flamengo RJ;0;0
19/04/2025;Corinthians;Sport Recife;2;1
20/04/2025;Bragantino;Cruzeiro;1;0
20/04/2025;Fluminense;Vitoria;1;1
20/04/2025;Fortaleza;Palmeiras;1;2
20/04/2025;Atletico-MG;Botafogo RJ;1;0
20/04/2025;Sao Paulo;Santos;2;1
20/04/2025;Juventude;Mirassol;2;2
21/04/2025;Bahia;Ceara;1;0
26/04/2025;Botafogo RJ;Fluminense;2;0
26/04/2025;Sport Recife;Fortaleza;0;0
26/04/2025;Ceara;Sao Paulo;1;1
26/04/2025;Mirassol;Atletico-MG;2;2
26/04/2025;Internacional;Juventude;3;1
27/04/2025;Santos;Bragantino;1;2
27/04/2025;Cruzeiro;Vasco;1;0
27/04/2025;Palmeiras;Bahia;0;1
27/04/2025;Vitoria;Gremio;1;1
27/04/2025;Flamengo RJ;Corinthians;4;0
02/05/2025;Sao Paulo;Fortaleza;0;0
03/05/2025;Bahia;Botafogo RJ;1;0
03/05/2025;Ceara;Vitoria;1;0
03/05/2025;Corinthians;Internacional;4;2
03/05/2025;Fluminense;Sport Recife;2;1
04/05/2025;Cruzeiro;Flamengo RJ;2;1
04/05/2025;Gremio;Santos;1;0
04/05/2025;Vasco;Palmeiras;0;1
05/05/2025;Juventude;Atletico-MG;0;1
05/05/2025;Bragantino;Mirassol;1;0
10/05/2025;Flamengo RJ;Bahia;1;0
10/05/2025;Gremio;Bragantino;1;1
10/05/2025;Mirassol;Corinthians;2;1
10/05/2025;Vitoria;Vasco;2;1
10/05/2025;Fortaleza;Juventude;5;0
11/05/2025;Botafogo RJ;Internacional;4;0
11/05/2025;Atletico-MG;Fluminense;3;2
11/05/2025;Palmeiras;Sao Paulo;1;0
11/05/2025;Sport Recife;Cruzeiro;0;4
12/05/2025;Santos;Ceara;0;0
17/05/2025;Sao Paulo;Gremio;2;1
17/05/2025;Vasco;Fortaleza;3;0
17/05/2025;Ceara;Sport Recife;2;0
18/05/2025;Cruzeiro;Atletico-MG;0;0
18/05/2025;Internacional;Mirassol;1;1
18/05/2025;Bragantino;Palmeiras;1;2
18/05/2025;Flamengo RJ;Botafogo RJ;0;0
18/05/2025;Bahia;Vitoria;2;1
18/05/2025;Corinthians;Santos;1;0
18/05/2025;Juventude;Fluminense;1;1
